order,family,genus,species,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Fabales,Fabaceae,Dalea,Dalea villosa,NA,24.3937697,97.57606885,NA,1.8894,NA,NA,NA,NA
Poales,Poaceae,Phalaris,Phalaris arundinacea,2344.28,22.15447907,45.91214949,1.342179414,0.669,0.129132532,NA,NA,0.129132532
Poales,Poaceae,Phleum,Phleum pratense,582.05,19.04335469,44.57100577,0.608786874,0.3971,0.27969775,NA,NA,0.27969775
Ericales,Polemoniaceae,Phlox,Phlox paniculata,NA,NA,NA,0.983601001,13.68,NA,NA,NA,NA
Ericales,Polemoniaceae,Phlox,Phlox pilosa,99.6,17.10307631,40.63200866,0.6,2.53,NA,NA,NA,NA
Lamiales,Phrymaceae,Phryma,Phryma leptostachya,NA,19.34476673,19.92031873,0.6,NA,NA,NA,NA,NA
Solanales,Solanaceae,Physalis,Physalis pubescens,NA,NA,NA,NA,0.922,NA,NA,NA,NA
Solanales,Solanaceae,Physalis,Physalis virginiana,378.87,16.6466712,43.26441392,0.21,1.53,NA,NA,NA,NA
Rosales,Urticaceae,Pilea,Pilea pumila,NA,26.78,25.3,0.5,0.4894,NA,NA,NA,NA
Pinales,Pinaceae,Pinus,Pinus banksiana,100,12.32887646,243.902439,22.64289987,3.4345,0.46,NA,NA,0.46
Pinales,Pinaceae,Pinus,Pinus resinosa,215.64,11.8117951,250.0570533,19.02789321,8.2253,0.416561503,NA,NA,0.416561503
Pinales,Pinaceae,Pinus,Pinus strobus,96.83,13.36950615,156.4901796,32.68060689,16.0472,0.382822765,NA,NA,0.382822765
Lamiales,Plantaginaceae,Plantago,Plantago lanceolata,974.36,22.45412435,53.74760144,0.178939791,1.3628,0.217738001,NA,NA,0.230116
Lamiales,Plantaginaceae,Plantago,Plantago major,4852.23,18.80325799,53.22780929,0.166581764,0.2197,NA,0.1596663,0.179535141,0.179535141
Poales,Poaceae,Poa,Poa compressa,203.62,13.67,52.95581109,0.305123631,0.2097,NA,0.309399474,0.277436733,0.277436733
Poales,Poaceae,Poa,Poa palustris,297.17,NA,42.90544324,0.663242293,0.1682,NA,0.279552806,0.250932892,0.250932892
Poales,Poaceae,Poa,Poa pratensis,441.04,17.38246583,47.78219052,0.366927341,0.255,0.209736833,NA,NA,0.209736833
Fabales,Polygalaceae,Polygala,Polygala polygama,36,18.3,55.55555556,0.194935887,1.64,NA,0.22,0.21115,0.21115
Fabales,Polygalaceae,Polygala,Polygala sanguinea,NA,NA,NA,1.5,0.4199,NA,NA,NA,NA
