"","Year","Plot","Subplot","Treatment","FertTrt","Species","Mass.g.m.2."
"336",2009,45,"na","Insecticide","n","Sedges",3.15
"337",2009,46,"na","SoilDrenchFungicide","n","C3 grasses",23.8
"338",2009,46,"na","SoilDrenchFungicide","n","C4 grasses",57.35
"339",2009,46,"na","SoilDrenchFungicide","n","Forbes",2.25
"340",2009,46,"na","SoilDrenchFungicide","n","Legumes",8.65
"341",2009,46,"na","SoilDrenchFungicide","n","Miscellaneous litter",164.95
"342",2009,46,"na","SoilDrenchFungicide","n","Sedges",0.55
"343",2009,46,"na","SoilDrenchFungicide","n","Woody",3.8
"344",2009,47,"na","Control","n","C3 grasses",22.6
"345",2009,47,"na","Control","n","C4 grasses",50.15
"346",2009,47,"na","Control","n","Forbes",14.8
"347",2009,47,"na","Control","n","Legumes",3.55
"348",2009,47,"na","Control","n","Miscellaneous litter",87.5
"349",2009,47,"na","Control","n","Sedges",1.2
"350",2009,48,"na","FoliarFungicide","n","C3 grasses",33
"351",2009,48,"na","FoliarFungicide","n","C4 grasses",47.55
"352",2009,48,"na","FoliarFungicide","n","Forbes",13.5
"353",2009,48,"na","FoliarFungicide","n","Miscellaneous litter",61.9
"354",2009,48,"na","FoliarFungicide","n","Sedges",13.2
"355",2010,1,"na","Insecticide","n","Ambrosia artemisiifolia elatior",5.05
"356",2010,1,"na","Insecticide","n","Bouteloua gracilis",0.6
"357",2010,1,"na","Insecticide","n","Carex sp.",0.55
"358",2010,1,"na","Insecticide","n","Cyperus sp.",1.95
"359",2010,1,"na","Insecticide","n","Koeleria cristata",49.25
"360",2010,1,"na","Insecticide","n","Lespedeza capitata",3.9
"361",2010,1,"na","Insecticide","n","Liatris aspera",40
"362",2010,1,"na","Insecticide","n","Panicum oligosanthes",0.8
"363",2010,1,"na","Insecticide","n","Panicum perlongum",0.65
"364",2010,1,"na","Insecticide","n","Poa pratensis",1.8
"365",2010,1,"na","Insecticide","n","Rhus glabra",1.3
"366",2010,1,"na","Insecticide","n","Sorghastrum nutans",109.7
"367",2010,1,"na","Insecticide","n","Sporobolus cryptandrus",3.1
"368",2010,1,"na","Insecticide","n","Viola pedatifida",0.35
"369",2010,2,"na","Control","n","Agrostis scabra",1
"370",2010,2,"na","Control","n","Carex sp.",3.3
"371",2010,2,"na","Control","n","Cyperus sp.",2.4
"372",2010,2,"na","Control","n","Koeleria cristata",45.95
"373",2010,2,"na","Control","n","Lespedeza capitata",14.15
"374",2010,2,"na","Control","n","Liatris aspera",2.2
"375",2010,2,"na","Control","n","Lychnis alba",2.25
"376",2010,2,"na","Control","n","Panicum perlongum",1.6
"377",2010,2,"na","Control","n","Poa pratensis",8.15
"378",2010,2,"na","Control","n","Sorghastrum nutans",114.45
"379",2010,3,"na","FoliarFungicide","n","Ambrosia artemisiifolia elatior",4.35
"380",2010,3,"na","FoliarFungicide","n","Aster sp.",1.4
"381",2010,3,"na","FoliarFungicide","n","Carex sp.",0.55
"382",2010,3,"na","FoliarFungicide","n","Cyperus filiculmis",2.3
"383",2010,3,"na","FoliarFungicide","n","Cyperus sp.",1.15
"384",2010,3,"na","FoliarFungicide","n","Koeleria cristata",39.05
"385",2010,3,"na","FoliarFungicide","n","Leptoloma cognatum",1
"386",2010,3,"na","FoliarFungicide","n","Lespedeza capitata",34.9
"387",2010,3,"na","FoliarFungicide","n","Panicum perlongum",2.65
"388",2010,3,"na","FoliarFungicide","n","Poa pratensis",10.2
"389",2010,3,"na","FoliarFungicide","n","Rudbeckia serotina",0.15
"390",2010,3,"na","FoliarFungicide","n","Sorghastrum nutans",236
"391",2010,3,"na","FoliarFungicide","n","Tradescantia occidentalis",13.15
"392",2010,4,"na","SoilDrenchFungicide","n","Ambrosia artemisiifolia elatior",6.25
"393",2010,4,"na","SoilDrenchFungicide","n","Carex sp.",2.35
"394",2010,4,"na","SoilDrenchFungicide","n","Cyperus filiculmis",0.9
"395",2010,4,"na","SoilDrenchFungicide","n","Koeleria cristata",18.55
"396",2010,4,"na","SoilDrenchFungicide","n","Lespedeza capitata",1.85
"397",2010,4,"na","SoilDrenchFungicide","n","Lithospermum canescens",41.2
"398",2010,4,"na","SoilDrenchFungicide","n","Panicum perlongum",1.25
"399",2010,4,"na","SoilDrenchFungicide","n","Poa pratensis",7.55
"400",2010,4,"na","SoilDrenchFungicide","n","Sorghastrum nutans",125.05
"401",2010,5,"na","AllPesticides","n","Ambrosia artemisiifolia elatior",0.35
"402",2010,5,"na","AllPesticides","n","Aristida basiramea",0.4
"403",2010,5,"na","AllPesticides","n","Carex sp.",2.45
"404",2010,5,"na","AllPesticides","n","Cyperus sp.",3.8
"405",2010,5,"na","AllPesticides","n","Koeleria cristata",46.5
"406",2010,5,"na","AllPesticides","n","Lespedeza capitata",0.8
"407",2010,5,"na","AllPesticides","n","Liatris aspera",0.6
"408",2010,5,"na","AllPesticides","n","Panicum perlongum",0.9
"409",2010,5,"na","AllPesticides","n","Poa pratensis",6
"410",2010,5,"na","AllPesticides","n","Solidago rigida",0.3
"411",2010,5,"na","AllPesticides","n","Sorghastrum nutans",35.5
"412",2010,6,"na","Fenced","n","Ambrosia artemisiifolia elatior",3.2
"413",2010,6,"na","Fenced","n","Carex sp.",0.85
"414",2010,6,"na","Fenced","n","Cyperus sp.",0.95
"415",2010,6,"na","Fenced","n","Koeleria cristata",24.15
"416",2010,6,"na","Fenced","n","Lespedeza capitata",0.65
"417",2010,6,"na","Fenced","n","Panicum perlongum",0.8
"418",2010,6,"na","Fenced","n","Poa pratensis",1.7
"419",2010,6,"na","Fenced","n","Solidago nemoralis",2.15
"420",2010,6,"na","Fenced","n","Sorghastrum nutans",100.6
"421",2010,7,"na","AllPesticides","n","Agrostis scabra",1.35
